iter	Passed	Remaining
1377	170793	77092
1378	170923	76971
1379	171025	76837
1380	171145	76711
1381	171260	76584
1382	171386	76460
1383	171519	76341
1384	171637	76214
1385	171765	76092
1386	171902	75974
1387	172027	75850
1388	172140	75722
1389	172293	75610
1390	172423	75489
1391	172563	75372
1392	172678	75244
1393	172802	75120
1394	172926	74996
1395	173058	74876
1396	173163	74744
1397	173312	74630
1398	173467	74520
1399	173613	74405
1400	173797	74307
1401	173936	74189
1402	174054	74062
1403	174181	73940
1404	174304	73815
1405	174431	73693
1406	174541	73563
1407	174665	73439
1408	174780	73311
1409	174905	73187
1410	175039	73067
1411	175148	72937
1412	175292	72821
1413	175417	72697
1414	175546	72575
1415	175680	72455
1416	175807	72332
1417	175926	72206
1418	176053	72083
1419	176190	71964
1420	176309	71838
1421	176438	71716
1422	176571	71596
1423	176696	71472
1424	176826	71351
1425	176949	71226
1426	177060	71097
1427	177194	70976
1428	177332	70858
1429	177448	70731
1430	177565	70604
1431	177691	70481
1432	177822	70359
1433	177932	70229
1434	178054	70104
1435	178154	69971
1436	178271	69844
1437	178398	69721
1438	178526	69599
1439	178632	69468
1440	178750	69341
1441	178861	69212
1442	179003	69095
1443	179109	68964
1444	179237	68841
1445	179379	68724
1446	179500	68599
1447	179629	68477
1448	179745	68350
1449	179854	68220
1450	179967	68092
1451	180100	67971
1452	180226	67848
1453	180366	67730
1454	180521	67618
1455	180666	67501
1456	180831	67392
1457	180991	67282
1458	181146	67169
1459	181331	67067
1460	181489	66956
1461	181675	66854
1462	181849	66748
1463	182012	66638
1464	182144	66516
1465	182291	66400
1466	182442	66286
1467	182562	66160
1468	182685	66035
1469	182809	65910
1470	182913	65779
1471	183029	65651
1472	183135	65521
1473	183271	65400
1474	183399	65277
1475	183506	65147
1476	183615	65017
1477	183742	64894
1478	183846	64762
1479	183977	64640
1480	184094	64513
1481	184213	64387
1482	184330	64260
1483	184443	64132
1484	184561	64006
1485	184692	63884
1486	184806	63756
1487	184924	63629
1488	185035	63500
1489	185160	63377
1490	185299	63257
1491	185434	63137
1492	185574	63018
1493	185704	62895
1494	185827	62770
1495	185967	62652
1496	186088	62526
1497	186221	62405
1498	186351	62282
1499	186461	62153
1500	186600	62034
1501	186727	61910
1502	186830	61779
1503	186941	61650
1504	187083	61532
1505	187208	61408
1506	187356	61291
1507	187485	61168
1508	187627	61050
1509	187767	60931
1510	187905	60811
1511	188047	60692
1512	188197	60576
1513	188316	60450
1514	188464	60333
1515	188605	60214
1516	188777	60105
1517	188905	59981
1518	189052	59864
1519	189194	59745
1520	189316	59620
1521	189458	59501
1522	189568	59372
1523	189692	59247
1524	189819	59124
1525	189933	58996
1526	190056	58871
1527	190191	58750
1528	190323	58628
1529	190456	58506
1530	190593	58385
1531	190736	58266
1532	190851	58139
1533	190993	58020
1534	191142	57903
1535	191287	57784
1536	191419	57662
1537	191552	57540
1538	191674	57415
1539	191810	57294
1540	191956	57175
1541	192101	57057
1542	192238	56936
1543	192370	56814
1544	192503	56691
1545	192620	56565
1546	192737	56438
1547	192856	56312
1548	192971	56184
1549	193103	56062
1550	193216	55934
1551	193326	55805
1552	193453	55681
1553	193574	55556
1554	193690	55429
1555	193812	55303
1556	193920	55174
1557	194048	55050
1558	194182	54929
1559	194325	54809
1560	194445	54683
1561	194561	54556
1562	194685	54432
1563	194812	54308
1564	194936	54183
1565	195056	54057
1566	195167	53929
1567	195300	53807
1568	195417	53680
1569	195543	53556
1570	195662	53430
1571	195792	53307
1572	195925	53185
1573	196052	53061
1574	196194	52941
1575	196305	52813
1576	196406	52682
1577	196536	52559
1578	196662	52435
1579	196782	52309
1580	196921	52188
1581	197043	52063
1582	197138	51931
1583	197265	51806
1584	197404	51686
1585	197519	51559
1586	197660	51438
1587	197795	51317
1588	197913	51190
1589	198048	51069
1590	198167	50943
1591	198301	50820
1592	198418	50694
1593	198538	50568
1594	198666	50445
1595	198786	50319
1596	198923	50198
1597	199050	50073
1598	199180	49950
1599	199307	49826
1600	199434	49703
1601	199562	49579
1602	199671	49450
1603	199787	49324
1604	199908	49198
1605	200041	49076
1606	200165	48951
1607	200293	48827
1608	200400	48698
1609	200512	48571
1610	200629	48445
1611	200759	48321
1612	200881	48196
1613	201016	48074
1614	201153	47952
1615	201293	47832
1616	201405	47704
1617	201530	47580
1618	201686	47462
1619	201835	47344
1620	201969	47221
1621	202096	47097
1622	202219	46972
1623	202352	46849
1624	202465	46722
1625	202585	46597
1626	202689	46467
1627	202811	46342
1628	202946	46220
1629	203078	46097
1630	203197	45971
1631	203326	45848
1632	203457	45724
1633	203591	45602
1634	203768	45489
1635	203887	45363
1636	204009	45238
1637	204118	45110
1638	204231	44983
1639	204361	44859
1640	204480	44734
1641	204588	44605
1642	204715	44481
1643	204833	44355
1644	204960	44231
1645	205099	44110
1646	205226	43986
1647	205365	43864
1648	205486	43739
1649	205625	43617
1650	205753	43493
1651	205882	43369
1652	205993	43242
1653	206118	43117
1654	206245	42993
1655	206374	42870
1656	206493	42744
1657	206602	42616
1658	206733	42493
